ID	Taxonomy	ITS-Behnsen-MY-1	ITS-Behnsen-MY-10	ITS-Behnsen-MY-11	ITS-Behnsen-MY-12	ITS-Behnsen-MY-13	ITS-Behnsen-MY-14	ITS-Behnsen-MY-15	ITS-Behnsen-MY-16	ITS-Behnsen-MY-17	ITS-Behnsen-MY-18	ITS-Behnsen-MY-19	ITS-Behnsen-MY-2	ITS-Behnsen-MY-20	ITS-Behnsen-MY-21	ITS-Behnsen-MY-22	ITS-Behnsen-MY-23	ITS-Behnsen-MY-24	ITS-Behnsen-MY-25	ITS-Behnsen-MY-26	ITS-Behnsen-MY-27	ITS-Behnsen-MY-28	ITS-Behnsen-MY-29	ITS-Behnsen-MY-3	ITS-Behnsen-MY-30	ITS-Behnsen-MY-31	ITS-Behnsen-MY-32	ITS-Behnsen-MY-33	ITS-Behnsen-MY-34	ITS-Behnsen-MY-35	ITS-Behnsen-MY-36	ITS-Behnsen-MY-37	ITS-Behnsen-MY-38	ITS-Behnsen-MY-39	ITS-Behnsen-MY-4	ITS-Behnsen-MY-40	ITS-Behnsen-MY-41	ITS-Behnsen-MY-42	ITS-Behnsen-MY-43	ITS-Behnsen-MY-44	ITS-Behnsen-MY-45	ITS-Behnsen-MY-46	ITS-Behnsen-MY-47	ITS-Behnsen-MY-48	ITS-Behnsen-MY-49	ITS-Behnsen-MY-5	ITS-Behnsen-MY-50	ITS-Behnsen-MY-51	ITS-Behnsen-MY-52	ITS-Behnsen-MY-53	ITS-Behnsen-MY-54	ITS-Behnsen-MY-55	ITS-Behnsen-MY-56	ITS-Behnsen-MY-57	ITS-Behnsen-MY-58	ITS-Behnsen-MY-59	ITS-Behnsen-MY-6	ITS-Behnsen-MY-60	ITS-Behnsen-MY-61	ITS-Behnsen-MY-62	ITS-Behnsen-MY-63	ITS-Behnsen-MY-64	ITS-Behnsen-MY-65	ITS-Behnsen-MY-66	ITS-Behnsen-MY-67	ITS-Behnsen-MY-68	ITS-Behnsen-MY-69	ITS-Behnsen-MY-7	ITS-Behnsen-MY-8	ITS-Behnsen-MY-9	ITS-Negative-Control-sample2	ITS-Negative-Ctrl-2-Underhill	ITS-Positive-Ctrl-2-Underhill
ASV 21	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__penicillioides	5583	3	237	0	1	0	0	0	0	0	0	3252	116	0	0	0	0	0	2	0	0	1	2916	0	0	0	0	0	288	0	0	1	0	2639	0	99	0	0	1	0	0	0	916	1105	2746	0	0	0	2072	0	0	0	0	0	0	4893	0	0	0	0	0	0	1591	0	489	0	712	0	442	0	0	0
ASV 22	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	165	1158	2111	1	0	1	2	0	98	917	352	1304	139	8	1	1	0	0	0	1	0	0	2531	3	1	0	0	0	1161	60	12	2242	5015	1298	0	18	0	0	0	0	0	0	0	0	1535	0	0	0	616	0	0	0	0	0	4	2296	0	0	0	0	0	0	1227	64	699	0	3889	42	812	0	0	0
ASV 23	k__Fungi ; p__Basidiomycota ; c__Tremellomycetes ; o__Tremellales ; f__Bulleribasidiaceae ; g__Vishniacozyma ; s__victoriae	3715	590	254	0	0	1	1	0	974	614	1358	390	1178	532	0	0	1	1	1	1	0	1	463	2	0	1	2	0	1894	1635	625	585	925	1391	0	258	2	0	1	0	0	0	0	2	2115	2	814	0	6384	0	0	0	0	0	1	1021	0	0	0	0	0	0	0	0	1163	0	0	0	1	0	0	0
ASV 24	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	1480	1753	470	0	0	0	22	0	612	663	187	1566	1008	1	0	1	1	0	1	0	0	2	4613	0	1	0	0	2	0	500	27	1896	2331	481	1	6	0	2	0	0	0	0	0	3	3420	0	0	0	244	0	0	1	0	0	148	1623	0	0	0	0	0	1	2040	9	57	0	2385	59	572	0	0	0
ASV 25	k__Fungi ; p__Basidiomycota ; c__Wallemiomycetes ; o__Wallemiales ; f__Wallemiaceae ; g__Wallemia ; s__canadensis	2273	257	289	0	1	0	1	0	874	212	260	742	104	227	0	3	0	0	0	0	1	1	1129	6	0	3	1	5	275	506	5952	19	1	892	2	175	1	1	1	1	1	0	4	1008	2516	1	7	0	4050	0	0	0	0	0	0	2296	0	0	0	0	0	0	2408	0	0	0	627	193	641	0	0	0
ASV 26	k__Fungi ; p__Basidiomycota ; c__Tremellomycetes ; o__Cystofilobasidiales ; f__Cystofilobasidiaceae ; g__Cystofilobasidium ; s__infirmominiatum	0	1	26924	0	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	65	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0
ASV 27	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Dothideales ; f__Aureobasidiaceae ; g__Aureobasidium ; s__pullulans	3	3	12	11	3	1	0	0	2	0	0	2	0	2	2	5	6	4	60	0	0	0	0	3	0	1	2	0	370	8	1855	0	590	0	0	0	1	0	0	1	1	4	4	6	0	0	0	0	0	0	0	0	0	0	13	4	8	5	0	0	1502	0	0	1	0	0	2	0	20876	0	0	0
ASV 28	k__Fungi ; p__Ascomycota ; c__Leotiomycetes ; o__Helotiales ; f__Myxotrichaceae ; g__Oidiodendron ; NA	1226	0	0	0	0	0	1	0	0	0	155	2129	0	0	0	0	0	0	0	0	1	0	322	0	0	0	0	0	0	736	2	538	3547	546	0	126	1	0	0	0	0	0	0	1745	1048	0	1	0	2429	0	0	0	0	1	0	283	1	0	0	0	0	0	1115	4930	904	0	0	722	0	0	0	0
ASV 29	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	232	506	1421	0	0	0	0	1	0	848	267	46	360	250	0	0	0	1	0	0	0	1	2966	0	0	0	0	0	272	684	0	1525	5846	529	0	1	0	0	0	0	0	0	0	0	577	0	0	0	25	0	0	0	0	0	1	220	0	0	0	0	0	0	2107	24	133	0	1215	0	502	0	0	0
ASV 30	k__Fungi ; p__Basidiomycota ; c__Microbotryomycetes ; o__Sporidiobolales ; f__Sporidiobolaceae ; g__Rhodosporidiobolus ; s__colostri	0	2	19508	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
ASV 31	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Pleosporales ; f__Didymellaceae ; g__Epicoccum ; s__nigrum	0	0	450	0	0	0	0	1	596	734	0	569	460	0	1	0	0	0	0	0	0	0	132	0	0	1	0	1	0	2018	1	1333	890	31	0	1	4	0	1	0	3361	1	600	0	0	1	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4048	1642	0	0	0	0	0	1	0	0
ASV 32	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	399	191	170	0	1	6	1	0	0	1819	362	87	838	1	0	0	0	0	0	2	0	0	2711	0	1	0	0	0	121	152	320	1054	1043	44	0	0	0	0	0	0	0	0	0	0	3389	0	0	0	0	0	0	0	0	0	715	733	0	0	0	0	0	0	1490	0	420	0	735	1	1020	0	0	0
ASV 33	k__Fungi ; p__Basidiomycota ; c__Microbotryomycetes ; o__Sporidiobolales ; f__Sporidiobolaceae ; g__Sporobolomyces ; s__ruberrimus	2782	1449	427	0	0	0	1	1	1	261	3353	1799	1858	11	1	0	0	2	2	0	0	1	939	0	0	0	1	0	428	416	305	783	796	249	0	0	0	0	0	0	0	0	0	280	164	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	12	0	0	0	3	938	136	0	1	0
ASV 34	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	1662	0	1984	172	847	484	4	0	0	0	0	1	0	13	0	0	0	1	0	0	2271	1	0	483	0	0	0	4	0	935	0	23	0	0	1045	1	0	0	0	657	0	2	187	893	0	0	0	0	0	0	836	0	4	1	1	2538	0	0	1246	1050	18	0	0	1	1	0	0	0	0
ASV 35	k__Fungi ; p__Basidiomycota ; c__Tremellomycetes ; o__Tremellales ; f__Bulleribasidiaceae ; g__Vishniacozyma ; s__victoriae	0	0	235	0	1	0	1	0	0	1	0	0	923	1	0	0	0	2	0	0	0	0	584	1	0	0	0	1	91	813	725	4675	1	44	0	46	2	0	0	0	0	1	1	1300	625	0	0	0	1147	1	0	1	0	0	1201	708	0	0	0	0	0	0	1150	0	1714	1	0	0	0	0	0	0
